tournament,count
Stunfest 2019 Tournaments,761
"Summer Shieldbreak Ft. Ally, Blacktwins, Smokk, Hoe",337
Summer Tournament 1,214
Sunday Schooled #4,23
Super Bit Wars 7,456
Super Salty Beef 1,74
Super Smash Con 2019,4920
Super Smash SMACKDOWN,14
Super Smash Showdown,210
Super SmashNest v20,366
Super Smashed Fest,371
Super South Bay Sunday #37,71
Suplex City Smash,416
Sweet Spot 5 ($100 Pot Bonus),289
SweetSpot,16
SweetSpot Summer Invitational 2019,218
Sync or Swim #29,2230
Sync or Swim #5,103
Sync or Swim #6,89
TGC Returns - $1750 Pot Bonus,564
TMT | Royalty 2,67
TNS Smash Ultimate February 9th,206
TNS Smash Ultimate January 12th,255
TNS Smash Ultimate January 19th,233
TOG Smash Ultimate,34
TR Circuit 2019 - Opening,274
TalentLand,30
Tech Republic IV,566
Tecnohouse Smash,15
Tempest 3,286
Terça Tryhard #1,30
Terça Tryhard #2,52
The 2019 South Carolina Arcadian,459
The Big Cheese 23,3
The Big Cheese 24,14
The Big House 9,1755
The Fantastic Classic: Ultimate Edition,204
The Forge,219
The Forge: Season 2 - Episode 1,169
The Forge: Season 3 - Episode 1,226
The Grind Fridays 59,291
The Grind Fridays 60,311
The Grind Fridays 61,238
The Grind Fridays 63,317
The Grind Fridays 64,212
The Grind Fridays 66,259
The Grind Fridays 67,215
The Grind Fridays 68,311
The Grind Fridays 69,233
The Grind Fridays 70,231
The Grind Fridays 71,240
The Grind Fridays 78,203
The Grind Fridays 79,211
The Grind Fridays 83,223
The Grind Fridays 89,238
The Grind Fridays 91,152
The Grind Fridays 92,321
The LAST WANTED S2 Chapitre 13 : L'invasion Bordelaise !,285
The Monthly,17
The Pinnacle 2019,354
The Prowling Grounds 42,212
The Ravens Best Georgia Smash Ultimate Bi-Weekly Series #3,32
The Return of the Undiscovered Monthly. $1k in cash prizes guaranteed,182
The Ultimate Adventure: Episode 0 Pilot,78
The Ultimate Adventure: Episode 1 Beginning,47
The Ultimate Pembina Valley Smash Monthly #17,34
The Ultimate Performance,265
The Warm-Up #3,13
The beginning,35
TheReset #6,212
Throwdown LX #51,72
Thursday Night Fights S3W8,116
Thursday Night Fights Season 1 Finale: PAX East Edition,259
Tilt #5 Tournament Series,292
Top Tier Tuesday #15,14
Top Tier Tuesday #17 ft. SV KJS | Maister,19
Torneo Nit FanCon 2ª edición,15
Torneo Rankeado Semanal #2,4
Tournament Arc Spring 2019,222
Tournament Arc Winter 2019: The Saga Continues!,236
Trinity 2019 | A Vancouver Island Smash Tournament,237
Tripoint Smash 42,220
Tripoint Smash 43,258
Triton Gaming Expo 2019,183
True Combo Thursdays #74,37
True Combo Thursdays #75,42
UBC CUP 2019: Super Smash Bros feat. CSL BC Local Qualifier,185
UBCEA Presents: Heroes VS Villains 2019,214
UCSB: SRB 3,24
UCSB: SRB 4,15
UGA Esports Overwatch/Smash Event,192
ULL Torneo Municipal,128
UNITE: A Michigan Smash Event,255
UPE Smash,307
UTK Smash Bash 1,80
Ueno Smash Ultimate Weekly-上野スマブラＳＰ平日大会（仮）,20
UltiMania,258
UltiMon Stadion,73
Ultim'up 2K19 - #1/6,20
Ultima Qualifica e Finale Xmas VGP Home,1
Ultimate @ Xanadu 284,357
Ultimate @ Xanadu 285,306
Ultimate @ Xanadu 286,237
Ultimate @ Xanadu 288,253
Ultimate @ Xanadu 291,216
Ultimate @ Xanadu 293,210
Ultimate @ Xanadu 295,211
Ultimate @ Xanadu 298,243
Ultimate @ Xanadu 300,240
Ultimate @ Xanadu 307,201
Ultimate @ Xanadu 308,207
Ultimate @ Xanadu 309,238
Ultimate @ Xanadu 310,201
Ultimate @ Xanadu 316,231
Ultimate Arena,14
Ultimate Austin's Really Feeling It #2 -- Smash Ultimate,280
Ultimate Cataclysm,56
Ultimate Cyber Smash Saturday 4,42
Ultimate Cyber Smash Saturday 5,15
Ultimate Cyber Smash Saturday 6,11
Ultimate EBS x Zen Gaming #4,36
Ultimate EBS x Zen Gaming #5,65
Ultimate EBS x Zen gaming #3,42
Ultimate Fighting Arena 2019,888
"Ultimate Gamer Miami $75,000",305
Ultimate Immortal Fight Night #3,62
Ultimate Immortal Fight Night #4,28
Ultimate Newjabes - Janvier,128
Ultimate Proving Ground,215
Ultimate Rumble - Toronto Monthly Smash Ultimate Tournament,76
Ultimate SEL #3 // Smash Epitech Lyon,223
Ultimate Shockwave 10,225
Ultimate Shockwave 11,267
Ultimate Shockwave 12,258
Ultimate Shockwave 13,246
Ultimate Shockwave 14,447
Ultimate Shockwave 15,282
Ultimate Shockwave 16,238
Ultimate Shockwave 17,223
Ultimate Shockwave 18,203
Ultimate Shockwave 20,240
Ultimate Shockwave 23,214
Ultimate Shockwave 24,242
Ultimate Shockwave 25,243
Ultimate Shockwave 26,289
Ultimate Shockwave 27,288
Ultimate Shockwave 28,282
Ultimate Shockwave 29,296
Ultimate Shockwave 30,312
Ultimate Shockwave 31,250
Ultimate Shockwave 37,207
Ultimate Shockwave 5,409
Ultimate Shockwave 6,343
Ultimate Shockwave 7,283
Ultimate Shockwave 8,251
Ultimate Shockwave 9,279
Ultimate Singles Kristineberg 2,44
Ultimate Smash Bash @ GGEZ #1,106
Ultimate Smash Stadium #3,71
Ultimate Smashville 1 - $300 in pot bonuses!,114
Ultimate Sooner Smash Dojo #5,88
Ultimate Sooner Smash Dojo #6,58
Ultimate Tenkaichi Smash Monthly 01,40
Ultimate Upsmash Thursdays VI,20
Ultimate at Battlegrounds 5,13
Ultimate at Battlegrounds 6,15
Ultimate at The Cave - Pound 2019's Pre-Local,224
Ultimate x Meltdown #1,42
Ultimatum League ISD Qualifier: Dallas ISD and Collin County,128
Ultra S@LT #170,1
Umebura SP2,945
Undiscovered Smash 101,34
Undiscovered Smash 102,12
UniSmash #3,223
Unismash #4 Elements,180
Unismash #5 Drowning in pools,187
"Uprising - a New Mexico Regional ft. Stroder, BestNess, AZ, VaLoR, and more",271
Uprising 2019,242
Upset or Reset,28
VGCT Ultimate #1,10
VGG Ultimate Ladders Event #0.5,7
VORTEX,369
VanderTILTED #22,61
Vault Gaming Center X Amarillo FGC 2,64
Versus Huntsville August 2019 - UAH Week of Welcome Event,438
Versus Huntsville February 2019,221
Versus Huntsville September 2019 w/ $200 Pot Bonus,224
Vivaldi Spring 2019,325
WANTED Saison 2 - Chapitre 5 : L'invasion du BDE - Part. 1,252
WANTED Saison 2 - Chapitre 7 : Nikita Edition,236
WANTED saison 2 Chapitre 4 : Les Frangins de la Lorraine,204
WSU Extra Life: Fight All Night,9
Warrior's Hall: XG Battleground,14
WaveSmash Ultimate #2,218
WeTecThose 9,612
Wednesday Whiffs 01/16 - Ultimate,77
Weds Night Fights x Oakland 2019 S2EP02,204
Weds Night Fights x Oakland 2019 S2EP03,102
Weds Night Fights x Oakland 2019 Spring 2019 Season 2.7,203
Weds Night Fights x Oakland 2019 Summer Season 3.3,212
Weds Night Fights x Oakland Winter 2019 Season 1.8,181
Weds Night Fights x Orange County 2019 Off-season 4.8,202
Weds Night Fights x Orange County 2019 Off-season 4.9,138
Weds Night Fights x Orange County Spring 2019 2.5,175
Weds Night Fights x Orange County Spring 2019 2.6,369
Weds Night Fights x Orange County Winter 2019 1.5,186
Weds Night Fights x Orange County Winter 2019 1.6,187
Weekly Wednesday #138,16
Weekly Wednesday #139,15
Weicheischuppen Jr. #1,18
WestMan Smash Monthly #31,15
Who's Your Pappy 16,212
Whos Tyler? 11 $100 Pot Bonus!,18
Winter Clash 2019,322
Winter Gamefest 2019,94
Winter Warfare 2019,45
XTR Ultimate Tournament,208
Xanzy's Dream Land 2,302
Xeno144,210
Xeno145,245
Xeno147,203
Xeno150,208
Xeno152,223
Xeno153,231
Xeno154,253
Xeno158,247
Xeno162,201
Xeno164,237
Xeno165,217
Xeno166,258
Xeno167,264
Xeno168,253
Xeno169,246
Xenosaga XXI,262
Xenosaga XXVI,448
Xenosaga XXVII,174
Xion Gala 17,244
YASUO saga,27
Zenith 5,155
[LES] Smash Ultimate - Barcraft The Achievement Nancy,18
「上スマ 1」上野スマブラSP平日大会/Ueno Smash Ultimate Weekly 1,20
ウメブラ JapanMajor2019 / Umebura JapanMajor2019,4452
ウメブラSP3 /Umebura SP3,1369
ウメブラSP5 /Umebura SP5,1244
神奈川スマブラ対戦会クロブラ 第16回クロブラ,14
