tournament,count
Ultimate Shockwave 24,245
Ultimate Shockwave 25,244
Ultimate Shockwave 26,297
Ultimate Shockwave 27,292
Ultimate Shockwave 28,292
Ultimate Shockwave 29,304
Ultimate Shockwave 30,323
Ultimate Shockwave 31,252
Ultimate Shockwave 37,213
Ultimate Shockwave 5,413
Ultimate Shockwave 6,346
Ultimate Shockwave 7,284
Ultimate Shockwave 8,252
Ultimate Shockwave 9,279
Ultimate Singles Kristineberg 2,45
Ultimate Smash Bash @ GGEZ #1,108
Ultimate Smash Stadium #3,72
Ultimate Smashville 1 - $300 in pot bonuses!,114
Ultimate Sooner Smash Dojo #5,88
Ultimate Sooner Smash Dojo #6,59
Ultimate Tenkaichi Smash Monthly 01,40
Ultimate Upsmash Thursdays VI,22
Ultimate at Battlegrounds 5,13
Ultimate at Battlegrounds 6,15
Ultimate at The Cave - Pound 2019's Pre-Local,234
Ultimate x Meltdown #1,42
Ultimatum League ISD Qualifier: Dallas ISD and Collin County,144
Ultra S@LT #170,1
Umebura SP2,998
Undiscovered Smash 101,34
Undiscovered Smash 102,12
UniSmash #3,248
Unismash #4 Elements,226
Unismash #5 Drowning in pools,217
"Uprising - a New Mexico Regional ft. Stroder, BestNess, AZ, VaLoR, and more",308
Uprising 2019,250
Upset or Reset,34
VGCT Ultimate #1,13
VGG Ultimate Ladders Event #0.5,7
VORTEX,415
VanderTILTED #22,69
Vault Gaming Center X Amarillo FGC 2,70
Versus Huntsville August 2019 - UAH Week of Welcome Event,452
Versus Huntsville February 2019,231
Versus Huntsville September 2019 w/ $200 Pot Bonus,241
Vivaldi Spring 2019,381
WANTED Saison 2 - Chapitre 5 : L'invasion du BDE - Part. 1,262
WANTED Saison 2 - Chapitre 7 : Nikita Edition,238
WANTED saison 2 Chapitre 4 : Les Frangins de la Lorraine,209
WSU Extra Life: Fight All Night,19
Warrior's Hall: XG Battleground,14
WaveSmash Ultimate #2,218
WeTecThose 9,716
Wednesday Whiffs 01/16 - Ultimate,82
Weds Night Fights x Oakland 2019 S2EP02,221
Weds Night Fights x Oakland 2019 S2EP03,117
Weds Night Fights x Oakland 2019 Spring 2019 Season 2.7,206
Weds Night Fights x Oakland 2019 Summer Season 3.3,238
Weds Night Fights x Oakland Winter 2019 Season 1.8,203
Weds Night Fights x Orange County 2019 Off-season 4.8,226
Weds Night Fights x Orange County 2019 Off-season 4.9,146
Weds Night Fights x Orange County Spring 2019 2.5,185
Weds Night Fights x Orange County Spring 2019 2.6,511
Weds Night Fights x Orange County Winter 2019 1.5,201
Weds Night Fights x Orange County Winter 2019 1.6,203
Weekly Wednesday #138,16
Weekly Wednesday #139,15
Weicheischuppen Jr. #1,20
WestMan Smash Monthly #31,15
Who's Your Pappy 16,240
Whos Tyler? 11 $100 Pot Bonus!,18
Winter Clash 2019,354
Winter Gamefest 2019,104
Winter Warfare 2019,50
XTR Ultimate Tournament,234
Xanzy's Dream Land 2,312
Xeno144,216
Xeno145,253
Xeno147,206
Xeno150,210
Xeno152,225
Xeno153,232
Xeno154,255
Xeno158,250
Xeno162,201
Xeno164,237
Xeno165,221
Xeno166,260
Xeno167,269
Xeno168,256
Xeno169,249
Xenosaga XXI,302
Xenosaga XXVI,494
Xenosaga XXVII,185
Xion Gala 17,244
YASUO saga,27
Zenith 5,160
[LES] Smash Ultimate - Barcraft The Achievement Nancy,18
「上スマ 1」上野スマブラSP平日大会/Ueno Smash Ultimate Weekly 1,21
ウメブラ JapanMajor2019 / Umebura JapanMajor2019,4789
ウメブラSP3 /Umebura SP3,1428
ウメブラSP5 /Umebura SP5,1324
神奈川スマブラ対戦会クロブラ 第16回クロブラ,14
